Sample_ID,Aggressive_Label,BC__module_PanGyn_TF_stress_response,CD4_T__module_PanGyn_TF_stress_response,CD8_T__module_PanGyn_TF_stress_response,EC__module_PanGyn_TF_stress_response,Endothelial__module_PanGyn_TF_stress_response,Fibroblasts__module_PanGyn_TF_stress_response,Macrophages__module_PanGyn_TF_stress_response,Monocytes__module_PanGyn_TF_stress_response,Myofibroblasts__module_PanGyn_TF_stress_response,NK_Cells__module_PanGyn_TF_stress_response,Normal_Epithelial__module_PanGyn_TF_stress_response,OC__module_PanGyn_TF_stress_response,Tregs__module_PanGyn_TF_stress_response,BC__module_PanGyn_immune_remodeling,CD4_T__module_PanGyn_immune_remodeling,CD8_T__module_PanGyn_immune_remodeling,EC__module_PanGyn_immune_remodeling,Endothelial__module_PanGyn_immune_remodeling,Fibroblasts__module_PanGyn_immune_remodeling,Macrophages__module_PanGyn_immune_remodeling,Monocytes__module_PanGyn_immune_remodeling,Myofibroblasts__module_PanGyn_immune_remodeling,NK_Cells__module_PanGyn_immune_remodeling,Normal_Epithelial__module_PanGyn_immune_remodeling,OC__module_PanGyn_immune_remodeling,Tregs__module_PanGyn_immune_remodeling,BC__module_PanGyn_matrisome_mechanical,CD4_T__module_PanGyn_matrisome_mechanical,CD8_T__module_PanGyn_matrisome_mechanical,EC__module_PanGyn_matrisome_mechanical,Endothelial__module_PanGyn_matrisome_mechanical,Fibroblasts__module_PanGyn_matrisome_mechanical,Macrophages__module_PanGyn_matrisome_mechanical,Monocytes__module_PanGyn_matrisome_mechanical,Myofibroblasts__module_PanGyn_matrisome_mechanical,NK_Cells__module_PanGyn_matrisome_mechanical,Normal_Epithelial__module_PanGyn_matrisome_mechanical,OC__module_PanGyn_matrisome_mechanical,Tregs__module_PanGyn_matrisome_mechanical,BC__module_PanGyn_metabolic_reprogramming,CD4_T__module_PanGyn_metabolic_reprogramming,CD8_T__module_PanGyn_metabolic_reprogramming,EC__module_PanGyn_metabolic_reprogramming,Endothelial__module_PanGyn_metabolic_reprogramming,Fibroblasts__module_PanGyn_metabolic_reprogramming,Macrophages__module_PanGyn_metabolic_reprogramming,Monocytes__module_PanGyn_metabolic_reprogramming,Myofibroblasts__module_PanGyn_metabolic_reprogramming,NK_Cells__module_PanGyn_metabolic_reprogramming,Normal_Epithelial__module_PanGyn_metabolic_reprogramming,OC__module_PanGyn_metabolic_reprogramming,Tregs__module_PanGyn_metabolic_reprogramming,BC__module_PanGyn_top65_core,CD4_T__module_PanGyn_top65_core,CD8_T__module_PanGyn_top65_core,EC__module_PanGyn_top65_core,Endothelial__module_PanGyn_top65_core,Fibroblasts__module_PanGyn_top65_core,Macrophages__module_PanGyn_top65_core,Monocytes__module_PanGyn_top65_core,Myofibroblasts__module_PanGyn_top65_core,NK_Cells__module_PanGyn_top65_core,Normal_Epithelial__module_PanGyn_top65_core,OC__module_PanGyn_top65_core,Tregs__module_PanGyn_top65_core
C1-5,Aggressive,0.395200508,0.282597067,0.116710559,,,,0.341339597,0.364057181,0.403810616,0.227907087,0.33974961,,,0.020971481,0.365443919,0.231072967,,,,0.54837491,0.252011662,0.033313926,0.18017849,0.015435815,,,0.080341951,0,0.07795869,,,,0.092388236,0.061107439,0.046389344,0,0.073513511,,,0.249706368,0.150614235,0.143511387,,,,0.129819001,0.184696596,0.210198237,0.201203053,0.22925922,,,0.204618311,0.259429657,0.158960327,,,,0.349314001,0.260573596,0.200996578,0.184640123,0.178318703,,
A2,LessAggressive,,0.334545097,0.26866226,0.447761368,0.428880392,0.4073971,0.382421411,0.439277646,0.550510806,0.288695687,0.402277745,,0.401226742,,0.244411158,0.223496885,0.120100438,0.035097681,0.02149743,0.425796811,0.566391904,0.012916415,0.268698882,0.111824818,,0.804993554,,0.086783425,0.006518163,0.080511987,0.227623896,0.486450862,0.127325092,0.126361541,0.377982862,0.005516328,0.038399142,,0,,0.308380693,0.268039603,0.228981069,0.262191014,0.196480014,0.347443785,0.267393169,0.096531539,0.312675696,0.233969625,,0.275377436,,0.27454836,0.228358218,0.254163805,0.237626496,0.235961839,0.367226752,0.420995078,0.253563589,0.260276263,0.232251676,,0.4818919
C2-1,LessAggressive,0.323720483,,,,,,,0.248659786,0.287460315,,0.216886932,,,0.013632295,,,,,,,0.008692365,0.011937106,,0.010734886,,,0.050465557,,,,,,,0.023183781,0.044929742,,0.03311679,,,0.263581296,,,,,,,0.242398658,0.347924716,,0.270586599,,,0.176745602,,,,,,,0.141682842,0.17967293,,0.137717359,,
C2-2,Aggressive,0.340217888,,,,,,,0.297653578,0.27265878,,0.30793442,,,0.011153616,,,,,,,0.007923417,0.013231005,,0.013784709,,,0.026808831,,,,,,,0.011628648,0.016170626,,0.025655959,,,0.337233799,,,,,,,0.363443583,0.341685987,,0.350101127,,,0.194252876,,,,,,,0.181889375,0.170990872,,0.186227544,,
B13,LessAggressive,0.363082368,0.307777868,0.238514966,,0.409844076,0.466609601,0.406888867,0.416864781,0.426312941,0.213761286,0.411339595,,0.440997613,0.09740693,0.409499917,0.257522207,,0.037472189,0.028921397,0.61667374,0.38874898,0.025472213,0.261004609,0.103179174,,0.743612979,0.014666451,0.011325789,0,,0.175667908,0.931298151,0.031953177,0.037266532,0.103439722,0.005567837,0.029185544,,0.019945952,0.247179834,0.203682585,0.24363977,,0.285599134,0.274658959,0.277508295,0.307848344,0.336571745,0.239756693,0.257622995,,0.262223669,0.21373216,0.29558796,0.2242488,,0.231616466,0.316239513,0.420634875,0.350072987,0.23672507,0.216459379,0.236279137,,0.4734558
A3,LessAggressive,,0.256374861,0.23983025,0.287832718,0.402263112,0.425752889,0.342724712,0.314585709,0.451137072,0.243898105,0.37073984,,0.36417084,,0.326243916,0.283639729,0.116672951,0.045327689,0.030534363,0.529333603,0.413692422,0.023247058,0.304790805,0.138236638,,0.509901627,,0.007650498,0.008741019,0.081671498,0.186724868,0.72562686,0.015045297,0.029391645,0.690900129,0,0.079839858,,0.003012205,,0.207770166,0.217310638,0.225590769,0.290581946,0.318865863,0.266308345,0.292891253,0.262261267,0.212112622,0.288252895,,0.254342491,,0.248417646,0.22949683,0.195789836,0.233730814,0.292209603,0.363224946,0.318989741,0.28408665,0.236573985,0.245119781,,0.360433729
C3-1,LessAggressive,0.280749465,,,,,0.097893288,,,,,0.272856127,,0.305311048,0.042654979,,,,,0.012728545,,,,,0.034890662,,0.160860084,0.043654936,,,,,0.016634715,,,,,0.029134882,,0.012931625,0.190379534,,,,,0.026595277,,,,,0.217012125,,0.284335417,0.156541012,,,,,0.045997678,,,,,0.154986816,,0.223013634
C3-2,Aggressive,0.326156795,,,,,,,,,,0.255218471,,0.120029474,0.014160927,,,,,,,,,,0.007386703,,0.042012761,0.033219461,,,,,,,,,,0.031009915,,0,0.1623127,,,,,,,,,,0.220308534,,0.016323651,0.155949069,,,,,,,,,,0.139845991,,0.060602752
B14B,Aggressive,0.437226955,0.325587821,0.331185032,,0.585334897,0.624503129,0.521546584,0.514425454,0.597816501,0.285195049,0.459786831,,0.324003426,0.119920845,0.184645033,0.234023114,,0.028710831,0.020655011,0.49531852,0.460883698,0.017142129,0.227097646,0.117029851,,0.179682812,0.031934066,0.010460783,0.023794509,,0.291490177,1.382137144,0.138595623,0.08828623,0.375426463,0.00856008,0.034831594,,0.026164962,0.323297069,0.145940709,0.145558853,,0.26840913,0.290256255,0.308509542,0.31985911,0.166978576,0.113904383,0.391975319,,0.118871912,0.26475178,0.210697685,0.231304916,,0.297866331,0.413919868,0.434309157,0.417230712,0.285651212,0.204843837,0.285714652,,0.204417048
A4,LessAggressive,,0.249303781,0.243681734,0.422791359,0.378015252,0.379163867,0.338220075,0.406475442,0.387911425,0.238948893,0.432371049,,0.282537213,,0.335231017,0.315537898,0.128072129,0.051048756,0.043347066,0.759623316,0.710786345,0.037822282,0.311841734,0.148828923,,0.531822994,,0.008785608,0.016730265,0.115234577,0.175044218,0.62037144,0.045714004,0.023062057,0.494572856,0.003960559,0.051066746,,0.010153187,,0.167178821,0.212128421,0.306057786,0.256820731,0.310991508,0.306264874,0.366158853,0.277943459,0.236683176,0.364300005,,0.174052819,,0.241082133,0.241847732,0.266769521,0.219344723,0.268967226,0.45394039,0.470699362,0.251885806,0.24259737,0.283229229,,0.323906008
HCC1143,LessAggressive,0.356687969,0.328373723,,,,0.311395693,0.313283002,0.323001768,,,0.368700148,,0.392263941,0.051686861,0.068411167,,,,0.068028651,0.073635635,0.060780727,,,0.057020192,,0.103232708,0.220820907,0.146073464,,,,0.095680207,0.165995578,0.232992788,,,0.212977147,,0.099640856,0.394491538,0.303301428,,,,0.353901272,0.242002292,0.258244936,,,0.42456083,,0.332912564,0.243783639,0.214544797,,,,0.213870118,0.200632799,0.208955974,,,0.2552111,,0.251109714
B14,Aggressive,0.372590079,0.261970682,0.212169792,,0.386855313,0.399807147,0.394164798,0.391111258,0.359201107,0.250130328,0.370325346,,0.284615928,0.106477988,0.321456872,0.135731058,,0.027095942,0.015029812,0.43130339,0.534140457,0.012196078,0.139455433,0.109454102,,0.308634162,0.029896715,0.024761114,0,,0.203849077,0.87726296,0.082748281,0.076456019,0.046850161,0,0.041442747,,0.020759871,0.347245758,0.170676063,0.182288273,,0.355441502,0.47441527,0.325812708,0.374080642,0.426039705,0.143737498,0.354225665,,0.204543047,0.241725241,0.24286445,0.159561032,,0.236380198,0.322649636,0.364889588,0.409270368,0.220950037,0.166600923,0.24443873,,0.252744168
A5,LessAggressive,,0.299202899,0.260716213,0.355097217,0.390240945,0.387125363,0.361329645,0.372507591,0.425679515,0.260349629,0.423135611,,0.281672955,,0.282481298,0.240979503,0.070804597,0.040899342,0.032568423,0.566299017,0.533342227,0.017667273,0.264642263,0.173487831,,0.399460716,,0.063013617,0.009859853,0.448683249,0.147948468,0.653946896,0.073704582,0.033555781,0.533821545,0.035766798,0.035748629,,0.008699828,,0.20968306,0.226577432,0.16308222,0.255247212,0.185649332,0.316569879,0.224805446,0.152222021,0.21863707,0.2298252,,0.19259092,,0.253579969,0.223748726,0.224737078,0.217263557,0.246001227,0.39835531,0.36859002,0.236596795,0.232795327,0.260377824,,0.280337775
MCF7,LessAggressive,0.306614989,,,,,,,0.331320713,,,0.350313193,,,0.062264664,,,,,,,0.13253881,,,0.067245917,,,0.020716818,,,,,,,0.016317115,,,0.022817662,,,0.36950956,,,,,,,0.358797422,,,0.444911914,,,0.20634088,,,,,,,0.237400588,,,0.238840314,,
B15,Aggressive,0.390263616,0.237913619,0.144734299,,0.353902488,0.364870025,0.37781064,0.390540209,0.415688225,0.211679294,0.403983401,,0.25291083,0.138953284,0.317823514,0.207086236,,0.031962988,0.017428936,0.444823518,0.561940887,0.019579739,0.2113688,0.155362307,,0.165245793,0.073790342,0.014830298,0,,0.199012669,0.634175121,0.044750673,0.079061517,0.117851524,0,0.07747132,,0,0.318138669,0.224553802,0.188583242,,0.432170481,0.466545558,0.318325431,0.323814256,0.333512382,0.240730281,0.313989836,,0.190951913,0.257700515,0.242925158,0.162206992,,0.241341511,0.287123371,0.35888185,0.40909261,0.231598973,0.197839997,0.267871494,,0.186153495
A6,Aggressive,,0.300583898,0.239795419,0.490012496,0.399967442,0.481000014,0.410872464,0.423991506,0.559639883,0.245141671,0.498925235,,0.337378971,,0.319691002,0.303243542,0.143243212,0.066544969,0.058228631,0.768945815,0.599816204,0.030297522,0.312363793,0.142774965,,0.537294354,,0.067886679,0.001391109,0.069779366,0.229329864,0.790625742,0.048802538,0.054685297,0.766153122,0.005336075,0.066729428,,0.024443886,,0.172018702,0.215653664,0.199872407,0.217499224,0.217960643,0.27633283,0.278260261,0.184807386,0.223687755,0.270059707,,0.163131889,,0.260152091,0.235411391,0.27049075,0.229742378,0.307376948,0.477245576,0.422970346,0.316430386,0.242501276,0.287234729,,0.344382529
MM468-5FU1-D214,Aggressive,0.545780084,,,,,,,0.533973205,,,0.520362614,,,0.117455769,,,,,,,0.115494828,,,0.121628247,,,0.058861717,,,,,,,0.060258957,,,0.06130954,,,0.300900368,,,,,,,0.29081127,,,0.284184447,,,0.300296919,,,,,,,0.293536385,,,0.289662229,,
B1,NonAggressive,,0.273730111,0.217879857,,0.46977456,0.498570427,0.438711665,0.300013777,0.37197569,0.26753642,0.453658202,,0.403174108,,0.294934099,0.156741056,,0.046839736,0.013039253,0.448185856,0.127242142,0.015687503,0.178905604,0.117085622,,0.598184589,,0.010397815,0.008717915,,0.184390059,0.528883881,0.053736199,0.043639135,0.101786174,0.004545839,0.039443943,,0.023011336,,0.212502183,0.239457016,,0.257585762,0.235189868,0.268787597,0.331836645,0.27218154,0.263641619,0.271809687,,0.237810628,,0.244679878,0.181254303,,0.251339755,0.276889142,0.372543061,0.22157842,0.201005085,0.211119733,0.259958424,,0.404013172
MM468-5FU1-D33,Aggressive,0.476979563,,,,,0.419088283,,0.502255625,0.323834789,,0.512933601,,,0.092092642,,,,,0.016317788,,0.100966045,0,,0.108721826,,,0.082365432,,,,,0.8720208,,0.070921891,0.588552352,,0.08750695,,,0.346356156,,,,,0.149298908,,0.381843705,0.097234839,,0.371274464,,,0.278238205,,,,,0.264420773,,0.296363045,0.188362572,,0.302302839,,
