Sample_ID,Aggressive_Label,BC__module_PanGyn_TF_stress_response,CD4_T__module_PanGyn_TF_stress_response,CD8_T__module_PanGyn_TF_stress_response,EC__module_PanGyn_TF_stress_response,Endothelial__module_PanGyn_TF_stress_response,Fibroblasts__module_PanGyn_TF_stress_response,Macrophages__module_PanGyn_TF_stress_response,Monocytes__module_PanGyn_TF_stress_response,Myofibroblasts__module_PanGyn_TF_stress_response,NK_Cells__module_PanGyn_TF_stress_response,Normal_Epithelial__module_PanGyn_TF_stress_response,OC__module_PanGyn_TF_stress_response,Tregs__module_PanGyn_TF_stress_response,BC__module_PanGyn_immune_remodeling,CD4_T__module_PanGyn_immune_remodeling,CD8_T__module_PanGyn_immune_remodeling,EC__module_PanGyn_immune_remodeling,Endothelial__module_PanGyn_immune_remodeling,Fibroblasts__module_PanGyn_immune_remodeling,Macrophages__module_PanGyn_immune_remodeling,Monocytes__module_PanGyn_immune_remodeling,Myofibroblasts__module_PanGyn_immune_remodeling,NK_Cells__module_PanGyn_immune_remodeling,Normal_Epithelial__module_PanGyn_immune_remodeling,OC__module_PanGyn_immune_remodeling,Tregs__module_PanGyn_immune_remodeling,BC__module_PanGyn_matrisome_mechanical,CD4_T__module_PanGyn_matrisome_mechanical,CD8_T__module_PanGyn_matrisome_mechanical,EC__module_PanGyn_matrisome_mechanical,Endothelial__module_PanGyn_matrisome_mechanical,Fibroblasts__module_PanGyn_matrisome_mechanical,Macrophages__module_PanGyn_matrisome_mechanical,Monocytes__module_PanGyn_matrisome_mechanical,Myofibroblasts__module_PanGyn_matrisome_mechanical,NK_Cells__module_PanGyn_matrisome_mechanical,Normal_Epithelial__module_PanGyn_matrisome_mechanical,OC__module_PanGyn_matrisome_mechanical,Tregs__module_PanGyn_matrisome_mechanical,BC__module_PanGyn_metabolic_reprogramming,CD4_T__module_PanGyn_metabolic_reprogramming,CD8_T__module_PanGyn_metabolic_reprogramming,EC__module_PanGyn_metabolic_reprogramming,Endothelial__module_PanGyn_metabolic_reprogramming,Fibroblasts__module_PanGyn_metabolic_reprogramming,Macrophages__module_PanGyn_metabolic_reprogramming,Monocytes__module_PanGyn_metabolic_reprogramming,Myofibroblasts__module_PanGyn_metabolic_reprogramming,NK_Cells__module_PanGyn_metabolic_reprogramming,Normal_Epithelial__module_PanGyn_metabolic_reprogramming,OC__module_PanGyn_metabolic_reprogramming,Tregs__module_PanGyn_metabolic_reprogramming,BC__module_PanGyn_top65_core,CD4_T__module_PanGyn_top65_core,CD8_T__module_PanGyn_top65_core,EC__module_PanGyn_top65_core,Endothelial__module_PanGyn_top65_core,Fibroblasts__module_PanGyn_top65_core,Macrophages__module_PanGyn_top65_core,Monocytes__module_PanGyn_top65_core,Myofibroblasts__module_PanGyn_top65_core,NK_Cells__module_PanGyn_top65_core,Normal_Epithelial__module_PanGyn_top65_core,OC__module_PanGyn_top65_core,Tregs__module_PanGyn_top65_core
B5,Aggressive,0.332640392,0.275498621,0.29309948,,0.334699308,0.307724448,0.390712523,0.445689387,0.409168048,0.265368428,0.338210461,,0.410856665,0.106341874,0.27903653,0.314303204,,0.030070439,0.032324147,0.728438049,0.656712782,0.019735814,0.304598061,0.065293133,,0.57332481,0.031690781,0.003096806,0.006134463,,0.334478407,0.974488761,0.04745693,0.022610246,0.918737822,0.005429107,0.019401799,,0.010506044,0.227948543,0.142805179,0.170327256,,0.175571308,0.15162424,0.213944176,0.24886422,0.095213577,0.154323262,0.230101797,,0.18638906,0.203847198,0.225067025,0.249558813,,0.195061563,0.240602544,0.443176601,0.441940711,0.255615266,0.233046251,0.190589489,,0.38649643
B6,Aggressive,0.335412335,0.260880464,0.258147932,,0.444294132,0.415234131,0.360464772,0.429930133,0.374579991,0.244395968,0.303855823,,0.25250808,0.130694938,0.256486892,0.2230516,,0.031205446,0.02034527,0.240042583,0.403914826,0.087544805,0.263356981,0.112982681,,0.175254628,0.031099213,0.001879229,0,,0.252015139,0.949614035,0.027030463,0.158613687,0.208723163,0.0038731,0.036522202,,0,0.430382129,0.221484096,0.228693647,,0.398010456,0.421536449,0.29309716,0.405978533,0.321074826,0.252933718,0.402535787,,0.235844212,0.253877388,0.227538736,0.216009333,,0.271118724,0.326092066,0.273601769,0.390889802,0.2470028,0.230610689,0.231375139,,0.198531031
MM468-5FU3-D77,Aggressive,0.488798359,0.487963209,,,0.306556282,0.391350321,,0.523396803,,,0.505610208,,0.20485798,0.100608156,0.095771198,,,0,0.038222954,,0.113985707,,,0.10522052,,0.031488457,0.081634376,0.063022994,,,0.221675893,0.254371302,,0.069855817,,,0.073450293,,0.120705754,0.360246588,0.411155068,,,0.210142539,0.154233963,,0.354571417,,,0.377844082,,0,0.288144027,0.294600695,,,0.170964659,0.206330072,,0.302897862,,,0.298488947,,0.094772348
B7,LessAggressive,0.453754361,0.285566468,0.230783742,,0.429967724,0.508922352,0.422394504,0.446936494,0.578569515,0.255912675,0.438549052,,0.300913378,0.124424221,0.277301118,0.272158123,,0.072628194,0.035570302,0.63641817,0.787003489,0.030356721,0.295174496,0.102219503,,0.206139929,0.037937808,0.012211635,0.011245008,,0.230580312,0.967086229,0.036698254,0.064475232,0.491951098,0.018263111,0.039441164,,0.022540639,0.199813072,0.163086554,0.201186246,,0.270652437,0.217455903,0.280464293,0.270421227,0.151302504,0.262932017,0.233146191,,0.17455119,0.248050833,0.232913069,0.219239295,,0.253256456,0.32542731,0.434137182,0.496660723,0.291137578,0.249272305,0.241618834,,0.216409775
MM468-5FUUnt-D33-H3K4me3,Aggressive,0.542889454,,,,,0.341426098,,0.511079521,0.376684564,,0.522066479,,,0.119438955,,,,,0.018078367,,0.112519855,0.03262394,,0.1190402,,,0.090572446,,,,,0.913176386,,0.060955142,0.672869251,,0.09235337,,,0.29999408,,,,,0.138627478,,0.334116063,0.131100526,,0.329403295,,,0.30272171,,,,,0.239227973,,0.293108082,0.233163353,,0.301258718,,
B8,LessAggressive,0.493246769,0.304695156,0.246682761,,0.434838689,0.466933687,0.450215441,0.490883225,0.458886412,0.259990735,0.486875617,,0.346376537,0.171796107,0.384159883,0.20672716,,0.079510727,0.069327834,0.702125024,0.965503588,0.032402401,0.227492435,0.168911281,,0.443634579,0.058983171,0.030449987,0.020555866,,0.194901692,0.802138486,0.100563386,0.098745118,0.305003419,0.021560489,0.069449207,,0.017284895,0.247262289,0.173160879,0.205779136,,0.253051343,0.367793653,0.351033609,0.341186997,0.285822206,0.207260652,0.252166199,,0.168358653,0.290219922,0.28119165,0.203490648,,0.250601757,0.33735636,0.487240737,0.592689206,0.25915926,0.215936374,0.288891608,,0.314809654
MM468-Untreated-D0-H3K4me3,Aggressive,0.534351829,,,,,,,0.560723736,,,0.462410223,,,0.133834356,,,,,,,0.136421172,,,0.125048644,,,0.056538357,,,,,,,0.047319509,,,0.044413535,,,0.335939211,,,,,,,0.345957143,,,0.265641863,,,0.308841879,,,,,,,0.320241428,,,0.265098144,,
B9,LessAggressive,0.368658494,0.194720032,0.204487312,,0.342597658,0.429949665,0.33915422,0.325396771,0.397620187,0.204128957,0.328194069,,0.253340939,0.098045803,0.241203358,0.161539806,,0.032088423,0.025609446,0.443489216,0.267956629,0.016070149,0.191338693,0.108805006,,0.331608129,0.048831783,0.015410535,0.008098864,,0.207992445,1.024042557,0.042616034,0.053714948,0.298564001,0.00778924,0.027597958,,0.002838869,0.251288509,0.134667815,0.153677854,,0.227539161,0.237264305,0.22047572,0.298257329,0.13867906,0.184881365,0.215177249,,0.14185513,0.219906771,0.182605889,0.161000446,,0.197288364,0.303177706,0.324964301,0.274565587,0.2016783,0.177629987,0.200213395,,0.235615053
MM468-Untreated-D33-H3K4me3,Aggressive,0.470192861,0.49380248,,,,0.390047764,,0.463589979,0.456910388,,0.465767523,,,0.093675339,0.127330606,,,,0.014699779,,0.079459448,0.008026096,,0.090308816,,,0.06816761,0.142272234,,,,0.853018916,,0.03471287,0.51205599,,0.067994618,,,0.418039488,0.388904163,,,,0.130657586,,0.235616677,0.144186935,,0.413773938,,,0.289422886,0.310699208,,,,0.248090086,,0.242483552,0.240620081,,0.285796688,,
SUM149PT,Aggressive,0.311782527,0.308384255,,,,0.290659181,0.31418783,0.409409869,,,0.318019096,,,0.057085539,0.120597572,,,,0.038557735,0.039109225,0.104079541,,,0.037003931,,,0.072460601,0.138443391,,,,0.071886808,0.04925254,0.043771694,,,0.054959087,,,0.485558535,0.445507123,,,,0.507954683,0.572337135,0.353005828,,,0.555034828,,,0.234322924,0.253674384,,,,0.224718781,0.244026619,0.256337883,,,0.241703644,,
T47D,LessAggressive,0.277259665,,,,,,,0.216065672,,,0.291601224,,,0.070107334,,,,,,,0.131511333,,,0.069225438,,,0.041659298,,,,,,,0.05012147,,,0.044188656,,,0.294915709,,,,,,,0.150461293,,,0.305206995,,,0.185743092,,,,,,,0.157707642,,,0.192797479,,
