names,scores,logfoldchanges,pvals,pvals_adj,pct_agg,pct_ctrl,cell_type
CBR3,14.41064,1.6526988,4.44E-47,5.43E-46,0.188119774,0.061707036,Monocytes
PIK3R1,14.34096,1.6823307,1.21E-46,1.48E-45,0.216313436,0.158016148,Monocytes
MDM4,14.031349,1.4189091,1.00E-44,1.20E-43,0.349795839,0.2727797,Monocytes
GLYATL2,14.025813,4.461037,1.08E-44,1.30E-43,0.508749757,0.432525952,Monocytes
RBM4,14.010614,1.7373767,1.34E-44,1.60E-43,0.121621622,0.048442907,Monocytes
SPTSSA,14.00491,1.4432187,1.45E-44,1.74E-43,0.641065526,0.284890427,Monocytes
MAN1A1,14.000852,2.3089535,1.54E-44,1.84E-43,0.110538596,0.024221453,Monocytes
ZC3HAV1,13.985994,1.5302063,1.90E-44,2.26E-43,0.106358157,0.030565167,Monocytes
SINHCAF,13.913176,1.4945536,5.27E-44,6.24E-43,0.249368073,0.123990773,Monocytes
TOPORS,13.77269,1.6180406,3.72E-43,4.36E-42,0.263173245,0.166089965,Monocytes
GPX4,13.756919,4.6068397,4.63E-43,5.41E-42,0.332004667,0.116493656,Monocytes
VAV3,13.720097,1.715603,7.70E-43,8.99E-42,0.270464709,0.163206459,Monocytes
NMU,13.7171335,2.053179,8.02E-43,9.34E-42,0.313435738,0.125720877,Monocytes
PHLDA3,13.637336,1.7571962,2.40E-42,2.79E-41,0.826463154,0.694348328,Monocytes
RCAN3,13.534151,1.4035913,9.83E-42,1.13E-40,0.394127941,0.461361015,Monocytes
AGR2,13.525084,1.546203,1.11E-41,1.28E-40,0.186175384,0.10438293,Monocytes
TMEM156,13.507353,5.7050986,1.42E-41,1.63E-40,0.151079137,0.155709343,Monocytes
ITGB6,13.435077,1.7958502,3.77E-41,4.30E-40,0.793311297,0.607266436,Monocytes
HERPUD1,13.419258,1.5165067,4.66E-41,5.32E-40,0.146704258,0.328719723,Monocytes
MSL3,13.384081,1.4773631,7.49E-41,8.54E-40,0.700855532,0.542099193,Monocytes
LBR,13.335079,1.7875274,1.45E-40,1.64E-39,0.115982889,0.059400231,Monocytes
FOXA1,13.3240595,2.6413865,1.68E-40,1.90E-39,0.114038499,0.05017301,Monocytes
JADE1,13.32278,2.822947,1.71E-40,1.93E-39,0.356212327,0.091695502,Monocytes
MTERF4,13.239738,2.3538673,5.17E-40,5.82E-39,0.731868559,0.573817762,Monocytes
RSBN1L,13.040914,1.2304852,7.16E-39,7.92E-38,0.082539374,0.117070358,Monocytes
KLF5,13.006568,1.1423684,1.12E-38,1.24E-37,0.160023333,0.280276817,Monocytes
LDLR,12.879611,1.2020599,5.86E-38,6.42E-37,0.246937585,0.158592849,Monocytes
NEK2,12.801769,2.6864028,1.60E-37,1.74E-36,0.271145246,0.616493656,Monocytes
ANKRD10,12.577216,0.74331033,2.82E-36,3.03E-35,0.222827144,0.158592849,Monocytes
FAM13B,12.554118,2.2091093,3.77E-36,4.05E-35,0.190939141,0.171856978,Monocytes
GADD45A,12.498645,0.7463061,7.59E-36,8.12E-35,0.34950418,0.334486736,Monocytes
SUPV3L1,12.414803,1.6010786,2.17E-35,2.31E-34,0.013805172,0.116493656,Monocytes
CTR9,12.394129,1.7512708,2.81E-35,2.98E-34,0.013027416,0.126297578,Monocytes
CHCHD7,12.393664,1.5470545,2.83E-35,3.00E-34,0.836573984,0.544405998,Monocytes
PPP2R5C,12.320431,1.0358111,7.03E-35,7.43E-34,0.010985806,0.105536332,Monocytes
CCDC14,12.1720295,1.0012268,4.38E-34,4.57E-33,0.111510791,0.235870819,Monocytes
AHNAK,12.16612,1.1638973,4.71E-34,4.91E-33,0.105969279,0.25432526,Monocytes
TCF7,12.023019,1.8778458,2.69E-33,2.79E-32,0.279700564,0.19088812,Monocytes
KYNU,11.935096,0.6100443,7.77E-33,8.01E-32,0.23984056,0.202998847,Monocytes
OAF,11.8653965,1.6144307,1.79E-32,1.83E-31,0.422904919,0.065743945,Monocytes
ING4,11.848455,1.4793276,2.19E-32,2.24E-31,0.296033444,0.092272203,Monocytes
DGKH,11.742365,1.524392,7.73E-32,7.81E-31,0.308671981,0.421568627,Monocytes
RAD9A,11.625826,1.6748215,3.05E-31,3.06E-30,0.166537041,0.121107266,Monocytes
MYO1B,11.593421,1.0607033,4.45E-31,4.46E-30,0.104608205,0.123990773,Monocytes
IDS,11.463782,1.3355837,2.01E-30,1.99E-29,0.041026638,0.223183391,Monocytes
RAB3IP,11.370383,0.93862617,5.87E-30,5.79E-29,0.122885475,0.023068051,Monocytes
SESN3,11.300396,2.4270244,1.31E-29,1.27E-28,0.696772312,0.250865052,Monocytes
MIDN,11.167025,0.7880667,5.91E-29,5.71E-28,0.066303714,0.164359862,Monocytes
RHBDD2,11.148288,1.2560494,7.30E-29,7.02E-28,0.068053665,0.132641292,Monocytes
CEBPB,11.076237,3.574695,1.64E-28,1.56E-27,0.113066304,0.080738178,Monocytes
OSTF1,11.066511,0.9685291,1.82E-28,1.74E-27,0.28864476,0.210495963,Monocytes
SELENOK,10.805128,0.47099864,3.26E-27,3.02E-26,0.820241104,0.494232987,Monocytes
TP53I3,10.689645,1.3824524,1.14E-26,1.04E-25,0.171689675,0.152825836,Monocytes
SUPT20H,10.669322,1.447423,1.42E-26,1.29E-25,0.74790978,0.375432526,Monocytes
LITAF,10.654987,0.8255959,1.65E-26,1.50E-25,0.853392961,0.648788927,Monocytes
NEU1,10.647472,1.1558387,1.79E-26,1.63E-25,0.887808672,0.633217993,Monocytes
BTG1,10.563234,1.3475865,4.41E-26,3.99E-25,0.792533541,0.362745098,Monocytes
SPATS2L,10.517543,1.0748571,7.17E-26,6.47E-25,0.322671592,0.181084198,Monocytes
PCF11,10.490401,1.1764398,9.56E-26,8.60E-25,0.21748007,0.108419839,Monocytes
TTC39A,10.487839,1.1631562,9.83E-26,8.83E-25,0.384017111,0.099769319,Monocytes
